Key Skills,Job Title,Job ID
 Media Planning| Digital Media,Media Planning Executive/Manager,1
 pre sales| closing| software knowledge| clients| requirements| negotiating| client| online bidding| good communication| technology,Sales Executive/Officer,2
 Computer science| Fabrication| Quality check| Intellectual property| Electronics| Support services| Research| Management| Human resource management| Research Executive,R&D Executive,3
 manual testing| test engineering| test cases| web testing| web technologies,Testing Engineer,4
 adobe experience manager| digital| digital marketing| adobe analytics| data analytics| aem| adobe| sitecatalyst,System Analyst,5
 channel partners| real estate| negotiation| property| Residential Sales,Sales Executive/Officer,6
 TFS| Azure| Git| VSTS| Docker| DynaTrace| Splunk| AWS,Technical Architect,7
 Bde,Sales Executive/Officer,8
 technical support| support services| application support| communication skills| voice based process| semi voice| semi voice process,Associate/Senior Associate -(Technical),9
 secretary| executive assistant| ea,Corporate Planning/Strategy Manager,10
 website| web analytics| xml| link building| google analytics| case studies| seo| social media| tracking| maintaining,Webmaster,11
 operations| workflow| tat| monitoring| mts| email,Process Flow Analyst,12
Oracle IDAM|OIM|OAM,Software Developer,13
 Help Desk| Customer Service| customer relationship| access controls| Asset Management| Vendor Management,Senior Design Engineer,15
 Report Generation| Policies| analytical| procedures| Analysts| Data Entry| analytical skills,Accounts Manager,16
Copyright| Email| jQuery| XML| Javascript| CakePHP| Customer service| Open source| Facebook| CSS3,Software Developer,17
 C#| MS Dynamics CRM| Microsoft Dynamics| ms dynamics,Software Developer,18
 sales manager| business development manager| relationship manager| brokers| insurance sales| channel sales| direct sale| direct marketing| sales| Marketing Executive| Territory Sales Manager,Sales Officer,19
 lead generation| business development| corporate sales,Sales/Business Development Manager,20
 contract management| closing| it services| relationship building| managed services| selling| market research| business development manager| sales,Sales/Business Development Manager,21
 Java EE| JMS| Core Java| JUnit| Weblogic| HTML| JPA| JSON| SOAP| SQL,Software Developer,23
 Conceptualization| Architecting| Continuous improvement| SIDE| development| Front end| it,Software Developer,24
 Articulate Storyline,Graphic/Web Designer,25
 Area Sales Management| Retail Sales| FMCG| Chocolate| confectionary| ASM| Area Sales Manager| area business manager,Area Sales Manager,26
 C#| Java| OOP| C++| Multithreading| UML| OOAD| OOPS| .Net| debugging,Software Developer,27
 qmail| workflow| nagios| windows server| networking| mysql| monitoring| redhat| maintaining| centos,System Administrator,28
 Java| JPA| Hibernate| Project Management| JDBC| Scrum Master| Microservices| Agile| SOAP| Rest,Project Manager-IT/Software,29
Java| java api| Banking| j2ee| API| finance| core java| microservices,Software Developer,30
GIS| ISO 27001| HR| information system| process| ISO 9001| Information security management| GIS software| Management| Edge,Project Lead,31
 Administration| Administrative Support| Contract Logistics| Staff Development| Site Management| Quality Improvement| warehousing| Warehouse Operations,Logistics Executive,32
 filing| tds| service industry| pf| esi| returns| coaching| payroll| invoice| tally,Accounts Executive/Accountant,33
 Outbound| Antivirus| Technical support| Sales| Spot| Inbound calls| pay| Medical| Comp,Associate/Senior Associate -(NonTechnical),34
 Troubleshooting| DNS| DHCP| Monitoring| Virtualization| Shell scripting| Python| VMS| Open source| Archiving,Technical Support Manager,35
4G| 3GPP| 3G| System Architect| LTE| Radio Access Network| PhD| IEEE,Technical Architect,36
arm processor|c|device drivers|embedded linux|linux kernel|ipc,Software Developer,37
 market| presentation| strong analytical skills| english| presentation skills| developing| customer interaction,Sales/Business Development Manager,38
 fixed assets| accounts payable| record to report| general accounting| general ledger,Associate/Senior Associate -(NonTechnical),39
 Team management| Regional sales| Management,Regional Manager,40
 ODI| Matrix,Software Developer,42
 javascript| sql| php| php mysql| css| software development| technical| photoshop| mca| ajax| jquery| application| web| design| mysql| html,Software Developer,43
 Relationship management| Relationship building| Client relationship| Training| Analytical skills| Process mapping| Standard operating procedures| Agile| Management| Visa processing,Associate/Senior Associate -(NonTechnical),44
 android| btech| iphone| server| analytical| developing| ios| platforms| objective c| web| xml| design| json| programming| development| c| testing| mobile| xcode| application development| eclipse| application| sdk| applications,Software Developer,45
 bca| graphics| application development| b tech| core| b sc| application| b e| ios| publishing| animation,Software Developer,46
 Accounting| Continuous Improvement| Process Improvement| Load Balancing| Lean Six Sigma| Black Belt| Training| Green Belt| Process re - engineering| Process Excellence| Business Excellence| OTC,Team Leader -(NonTechnical),47
 Automobile| Digital Content| Content Development| Production| Web Content Writing,Content Developer,48
 Tourism| target achievement| negotiation skills| revenue management| Tour Packages,Sales/Business Development Manager,49
 PHP| Networking| Data structures| HTTP| JSON| Software design| Computer science| System design| Backend| Ticketing,Software Developer,50
 WebLogic| configuration| MySQL| installation| Oracle DBA| troubleshooting| Oracle RAC,DBA,51
 Service level| Data management| HR Coordinator| Management audit| HR operations| Human resource management,HR Executive,52
 Graphics| C++| Windows OS| Linux| high performance computing| Test cases| System software| Gaming| FreeBSD,Software Developer,53
 Sales| Team Building| Strategic Leadership| Real Estate| Field Sales| Sales Strategy| Enterprise Business| Go - to - market Strategy| Enterprise sales| Sales Executive Activities| Marketing,Head/VP/GM/National Manager -Sales,54
 Market analysis| Public relations| CV| Relationship building| Market intelligence| Prospecting| Budgeting| Sales process| Branding,Sales/Business Development Manager,56
 ERP| MIS| Succession Planning| Reports| Talent Management| Human Resources| HR Policies| Recruitment| Talent Acquisition,HR Executive,57
 revenue generation| marketing| ad sales| web technologies,Sales/Business Development Manager,58
 co ordination| team management| drafting| loans| online| coordination| quality,Project Architect,59
 English| PHP| XML| DOM| SOAP| Com| Web technologies| Written communication| Email| Time,Software Developer,60
